"","X.5","X.4","X.3","X.2","PLOT_ID","X.1","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Ano_IFN2","EXEC_TIME","AA_RAINFALL","AM_TEMPERATURE","MARTONNE"
"29",29,29,29,4920,"19_601",38906,26,77949.1875,795.774715459477,26,NA,NA,77949.1875,NA,NA,795.774715459477,NA,NA,8500.46551053813,3405.91578216656,7.79491875,795.774715459477,0,636.619772367581,95.4929658551372,63.6619772367581,0,0,0,0,0,10.682,4.28,11.167752683508,6.625,2000,19,601,NA,930429,3,10,4,2,2,"S",930518,1,485,3,"0485220",480,4534,92,182,2,2,0,0,10,10,3,4,9,1,0,40,26,0,8,1,4,NA,37,NA,1,NA,2,NA,45,NA,1,NA,2,26,1,2,20,37,3,6,NA,45,3,6,NA,26,37,45,NA,NA,NA,NA,3,2,"W",19,NA,NA,NA,1,1,2,NA,1,NA,0,0,NA,NA,"M204",191,NA,6.75,NA,"IFN2",20,182,26,19930429,1993,10,284.7,13.8,11.9621848739496
"30",30,30,30,4921,"19_602",38907,26,31567.875,350.14087480217,26,NA,NA,31567.875,NA,NA,350.14087480217,NA,NA,3679.66228428462,1878.02832848436,3.1567875,350.14087480217,0,254.647908947033,95.4929658551372,0,0,0,0,0,0,10.5090909090909,5.36363636363636,10.7141155830648,5.28571428571429,2001,19,602,NA,930429,3,5,4,2,2,"S",930518,1,485,3,"0485220",481,4531,92,182,1,1,0,0,10,9,4,5,9,1,0,35,26,0,9,1,4,NA,45,NA,1,NA,2,NA,NA,NA,NA,NA,NA,26,1,2,20,45,3,6,NA,NA,NA,NA,NA,26,45,37,NA,NA,NA,NA,3,2,"W",15,NA,NA,NA,4,1,2,NA,1,NA,0,0,NA,NA,"01",345,NA,8.25,NA,"IFN2",20,182,26,19930429,1993,10,284.7,13.8,11.9621848739496
"31",31,31,31,4922,"19_603",38908,26,43910.3125,222.816920328653,26,NA,NA,43910.3125,NA,NA,222.816920328653,NA,NA,3474.35240769608,1336.90152197192,4.39103125,222.816920328653,0,0,159.154943091895,63.6619772367581,0,0,0,0,0,15.5928571428571,6,15.8403305340694,6.625,2002,19,603,NA,930429,3,7,4,1,2,"S",930518,1,485,3,"0485220",481,4533,92,182,1,1,0,0,10,10,4,5,9,1,0,60,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,37,NA,NA,NA,NA,NA,3,2,"W",18,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"M204",63,NA,10.5,NA,"IFN2",25,182,26,19930429,1993,10,284.7,13.8,11.9621848739496
"32",32,32,32,4923,"19_604",38909,26,132982.25,986.760647169751,26,NA,NA,132982.25,NA,NA,986.760647169751,NA,NA,12557.3250099505,5777.3244342358,13.298225,986.760647169751,0,509.295817894065,413.802852038928,63.6619772367581,0,0,0,0,0,12.7258064516129,5.85483870967742,13.099236618979,7.125,2003,19,604,NA,930429,3,19,4,1,3,"S",930518,1,485,3,"0485220",481,4535,92,262,1,1,0,0,8,10,2,3,9,1,0,40,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,26,37,NA,NA,NA,NA,NA,2,2,"W",20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",212,NA,3.25,NA,"IFN2",15,262,26,19930429,1993,10,284.7,13.8,11.9621848739496
"33",33,33,33,4924,"19_606",38912,26,75124.3125,763.943726841098,26,NA,NA,75124.3125,NA,NA,763.943726841098,NA,NA,8233.08520614375,3867.46511713306,7.51243125,763.943726841098,0,509.295817894065,222.816920328653,31.8309886183791,0,0,0,0,0,10.7770833333333,5.0625,11.1896017578822,6.375,2005,19,606,NA,930429,3,12,4,3,3,"S",930518,1,485,3,"0485221",482,4532,92,182,1,1,0,0,9,9,4,5,9,1,0,60,26,0,7,1,4,NA,45,NA,2,NA,2,NA,37,NA,1,NA,2,26,1,2,20,45,3,6,NA,37,3,6,NA,26,45,37,NA,NA,NA,NA,2,2,"W",17,NA,NA,NA,4,1,2,NA,1,NA,0,0,NA,NA,"P204",260,NA,8.5,NA,"IFN2",20,182,26,19930429,1993,10,284.7,13.8,11.9621848739496
"34",34,34,34,4931,"19_609",38916,26,202305.631944444,1414.71060526129,26,NA,NA,202305.631944444,NA,NA,1414.71060526129,NA,NA,18329.5211182423,8712.84894015298,20.2305631944444,1414.71060526129,0,636.619772367581,572.957795130823,190.985931710274,14.1471060526129,0,0,0,0,12.956375,6.15875,13.4935195093793,8.62903225806452,2008,19,609,NA,930429,3,30,4,1,1,"S",930518,1,485,3,"0485170",482,4538,92,262,1,1,0,0,9,9,2,3,9,1,0,70,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,1,NA,2,NA,0,0,NA,NA,"P204",148,NA,2.5,NA,"IFN2",20,262,26,19930429,1993,10,284.7,13.8,11.9621848739496
"35",35,35,35,4932,"19_611",38919,26,28982.4375,159.154943091895,26,NA,NA,28982.4375,NA,NA,159.154943091895,NA,NA,2417.56358556589,986.760647169751,2.89824375,159.154943091895,0,0,159.154943091895,0,0,0,0,0,0,15.19,6.2,15.2269333747804,6.375,2009,19,611,NA,930429,3,5,4,1,2,"S",930518,1,485,3,"0485170",483,4538,92,262,1,1,0,0,8,8,2,2,9,1,0,40,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,3,3,"W",20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"P204",134,NA,1.5,NA,"IFN2",20,262,26,19930429,1993,10,284.7,13.8,11.9621848739496
"36",36,36,36,4933,"19_613",38922,26,27449.4513888889,91.956189341984,26,45,NA,27449.4513888889,8196.5,NA,91.956189341984,63.6619772367581,NA,2591.92666766434,993.834200196058,3.56459513888889,155.618166578742,0,31.8309886183791,31.8309886183791,63.6619772367581,28.2942121052258,0,0,0,0,16.6556818181818,6.38636363636364,17.0777250587371,7,2011,19,613,NA,930429,3,6,4,2,3,"S",930518,1,485,3,"0485221",484,4535,92,262,1,1,0,0,9,9,4,5,9,1,0,40,26,0,6,1,4,NA,45,NA,3,NA,4,NA,37,NA,1,NA,3,26,1,2,20,45,3,6,NA,37,3,6,NA,26,45,37,15,NA,NA,NA,2,2,"W",19,NA,NA,NA,4,1,2,NA,1,NA,0,0,NA,NA,"P204",263,NA,8.5,NA,"IFN2",20,262,26,19930429,1993,10,284.7,13.8,11.9621848739496
"37",37,37,37,4939,"19_616",38927,26,191080.75,710.892079143799,26,NA,NA,191080.75,NA,NA,710.892079143799,NA,NA,12989.1654222066,5784.39798726211,19.108075,710.892079143799,0,0,286.478897565412,381.971863420549,42.4413181578388,0,0,0,0,18.2716417910448,8.13681592039801,18.4995724032875,8.91666666666667,2014,19,616,NA,930429,3,24,4,0,4,"S",930518,1,486,3,"0486168",485,4536,92,37,1,1,0,0,10,10,4,4,9,1,0,60,26,0,9,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,38,37,NA,NA,NA,NA,1,1,"W",20,NA,NA,NA,1,1,3,NA,2,NA,0,0,NA,NA,"P204",208,NA,5.25,NA,"IFN2",25,37,26,19930429,1993,10,284.7,13.8,11.9621848739496
"38",38,38,38,4940,"19_617",38928,26,103407,523.442923946678,26,NA,NA,103407,NA,NA,523.442923946678,NA,NA,7965.17438527239,2972.66065930529,10.3407,523.442923946678,0,127.323954473516,222.816920328653,159.154943091895,14.1471060526129,0,0,0,0,15.2168918918919,5.67905405405405,15.8597143902575,7.37096774193548,2015,19,617,NA,930429,3,14,4,0,3,"S",930518,1,486,3,"0486168",485,4538,92,37,1,1,0,0,10,10,4,2,9,1,0,50,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,1,NA,2,NA,0,0,NA,NA,"P204",387,NA,1.5,NA,"IFN2",25,37,26,19930429,1993,10,284.7,13.8,11.9621848739496
"39",39,39,39,15046,"42_1858",104366,26,50876.625,604.788783749202,26,43,NA,50876.625,24520.5,NA,604.788783749202,381.971863420549,NA,9568.39517868475,4838.31026999362,7.5397125,986.760647169751,127.323954473516,763.943726841098,95.4929658551372,0,0,0,0,0,0,9.69677419354839,4.90322580645161,9.8633976348531,4.57142857142857,2126,42,1858,NA,920110,9,10,4,2,1,"S",920117,5,378,2,"0378K11",534,4608,91,144,3,3,0,0,10,10,1,2,9,1,80,60,26,4,6,2,3,2,43,6,4,0,2,NA,NA,NA,NA,NA,NA,26,1,1,15,43,3,6,NA,NA,NA,NA,NA,26,43,15,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,2,NA,0,0,NA,NA,"01",225,NA,0.75,NA,"IFN2",15,144,26,19920110,1992,12,416.5,11.4,19.4626168224299
"40",40,40,40,15050,"42_1890",104413,26,123525.819444444,548.200359538751,26,43,NA,123525.819444444,20534.75,NA,548.200359538751,286.478897565412,NA,11661.8131968201,5538.59201959796,14.4060569444444,834.679257104162,0,381.971863420549,286.478897565412,95.4929658551372,70.7355302630646,0,0,0,0,13.9716101694915,6.63559322033898,14.8240821306734,7.75862068965517,2156,42,1890,NA,920110,9,20,5,2,3,"S",920117,5,378,2,"0378K12",539,4606,91,71,3,3,0,0,10,10,2,2,9,1,80,70,26,6,6,2,3,2,43,4,4,0,2,NA,NA,NA,NA,NA,NA,26,1,1,20,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,2,3,"W",16,NA,NA,NA,1,1,2,NA,2,NA,4,0,NA,NA,"01",390,NA,0.75,NA,"IFN2",20,71,26,19920110,1992,12,416.5,11.4,19.4626168224299
"41",41,41,41,15054,"42_1902",104432,26,66088.5,668.45076098596,26,NA,NA,66088.5,NA,NA,668.45076098596,NA,NA,7282.93019588513,3039.8594130552,6.60885,668.45076098596,0,509.295817894065,127.323954473516,31.8309886183791,0,0,0,0,0,10.8952380952381,4.54761904761905,11.2197529893869,5.125,2166,42,1902,NA,920112,5,9,4,2,4,"S",920117,5,378,2,"0378K12",537,4605,91,144,3,3,0,0,11,11,2,1,9,1,80,70,26,4,6,2,3,2,43,6,4,0,2,NA,NA,NA,NA,NA,NA,26,1,1,15,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,2,2,"W",20,NA,NA,NA,1,1,2,NA,2,NA,0,0,NA,NA,"01",380,NA,0.25,NA,"IFN2",15,144,26,19920112,1992,12,416.5,11.4,19.4626168224299
"42",42,42,42,15056,"42_1927",104464,26,29948.25,127.323954473516,26,43,NA,29948.25,9606.25,NA,127.323954473516,63.6619772367581,NA,3049.40870964071,1464.22547644544,3.95545,190.985931710274,0,0,159.154943091895,31.8309886183791,0,0,0,0,0,15.9666666666667,7.66666666666667,16.2387396883707,8.25,2189,42,1927,NA,920113,5,6,5,2,3,"S",920117,9,378,2,"0378L12",538,4603,91,71,3,3,0,0,10,10,2,1,9,1,80,60,26,4,8,2,3,2,43,6,2,0,3,NA,NA,NA,NA,NA,NA,26,1,1,20,43,3,6,NA,NA,NA,NA,NA,26,43,37,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",80,NA,0.25,NA,"IFN2",20,71,26,19920113,1992,12,416.5,11.4,19.4626168224299
"43",43,43,43,15060,"42_1928",104466,26,53425.4375,427.949958091541,26,43,NA,53425.4375,25040.4375,NA,427.949958091541,159.154943091895,NA,7453.75650147043,3358.16929923899,7.8465875,587.104901183436,0,286.478897565412,286.478897565412,0,14.1471060526129,0,0,0,0,12.6957831325301,5.71987951807229,13.0448057797472,8.41935483870968,2190,42,1928,NA,920113,5,13,5,2,4,"S",920117,9,378,2,"0378L12",539,4603,91,20,3,3,0,0,10,10,2,3,9,1,80,70,26,4,7,2,3,2,43,6,3,0,3,NA,NA,NA,NA,NA,NA,26,1,1,20,43,3,6,NA,NA,NA,NA,NA,26,43,15,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,0,NA,NA,"01",210,NA,4,NA,"IFN2",20,20,26,19920113,1992,12,416.5,11.4,19.4626168224299
"44",44,44,44,15064,"42_1980",104539,26,93906.875,364.287980854783,26,43,NA,93906.875,44577.5,NA,364.287980854783,636.619772367581,NA,12342.9963532535,7547.48107906899,13.8484375,1000.90775322236,0,636.619772367581,222.816920328653,127.323954473516,0,0,0,14.1471060526129,0,12.3318021201413,7.54063604240283,13.2726737795348,7.87096774193548,2240,42,1980,NA,920113,9,17,4,4,2,"S",920123,2,378,2,"0378L12",539,4600,91,20,3,3,0,0,10,10,3,2,9,1,80,70,26,4,8,2,3,2,43,6,2,0,3,NA,NA,NA,NA,NA,NA,26,1,1,17,43,3,6,NA,NA,NA,NA,NA,26,43,45,37,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,0,NA,"M404","M902",60,NA,1.25,NA,"IFN2",17,20,26,19920113,1992,12,416.5,11.4,19.4626168224299
"45",45,45,45,15219,"44_1589",109905,26,11077.5625,31.8309886183791,26,NA,NA,11077.5625,NA,NA,31.8309886183791,NA,NA,670.042310416879,206.901426019464,1.10775625,31.8309886183791,0,0,0,31.8309886183791,0,0,0,0,0,21.05,6.5,21.05,6.5,921,44,1589,NA,940707,3,1,1,1,4,"S",940711,3,589,1,"0589J12",650,4464,94,216,6,6,0,0,11,11,3,4,9,1,50,20,26,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,37,38,39,NA,NA,NA,3,1,"W",18,NA,NA,NA,2,1,1,NA,0,3,4,0,NA,NA,"01",165,NA,5.5,NA,"IFN2",25,216,26,19940707,1994,11,344.6,12,15.6636363636364
"46",46,46,46,15226,"44_1615",109948,25,33545.0625,541.126806512444,26,25,NA,68957.6458333333,33545.0625,NA,293.552450591718,541.126806512444,NA,9332.84586290874,4367.91899374424,10.2502708333333,834.679257104162,0,636.619772367581,127.323954473516,0,28.2942121052258,42.4413181578388,0,0,0,11.1813559322034,5.23305084745763,12.5044017673507,7.05172413793103,1407,44,1615,NA,940809,13,14,4,2,2,"S",940830,13,589,1,"0589K15",651,4461,94,263,0,4,0,0,0,12,0,1,9,1,50,65,25,0,6,1,3,NA,26,NA,4,NA,4,NA,NA,NA,NA,NA,NA,25,1,2,25,26,3,1,NA,NA,NA,NA,NA,25,26,37,39,NA,NA,NA,2,2,"W",20,NA,NA,NA,1,1,2,NA,2,3,4,0,NA,NA,"P204",292,NA,0.5,NA,"IFN2",25,263,26,19940809,1994,10,344.6,12,15.6636363636364
"47",47,47,47,15244,"44_164",110008,26,221853.993055556,671.987537499114,26,NA,NA,221853.993055556,NA,NA,671.987537499114,NA,NA,13361.4111502159,5736.65150433454,22.1853993055556,671.987537499114,0,0,254.647908947033,190.985931710274,169.765272631355,56.5884242104517,0,0,0,19.8834210526316,8.53684210526316,20.502559211243,10.1875,2009,44,164,NA,940908,12,30,4,2,4,"S",941021,12,491,2,"0491J78",644,4537,94,50,4,4,0,0,9,9,5,5,9,1,60,50,26,4,9,3,4,24,15,4,1,3,2,NA,NA,NA,NA,NA,NA,26,1,2,32,15,3,6,NA,NA,NA,NA,NA,26,15,45,92,NA,NA,NA,3,2,"W",20,NA,NA,NA,4,1,2,NA,9,NA,4,0,NA,NA,"M902",172,NA,10,NA,"IFN2",32,50,26,19940908,1994,11,344.6,12,15.6636363636364
"48",48,48,48,15248,"44_168",110080,26,98629.25,954.929658551372,26,NA,NA,98629.25,NA,NA,954.929658551372,NA,NA,10883.0150086238,4185.77500331685,9.862925,954.929658551372,0,763.943726841098,190.985931710274,0,0,0,0,0,0,11.3966666666667,4.38333333333333,11.4675920169261,4.75,190,44,168,NA,940530,3,12,4,2,3,"S",940627,3,491,2,"0491J80",638,4536,94,50,2,2,0,0,10,10,2,4,9,1,0,45,26,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,26,45,NA,NA,NA,NA,NA,2,2,"W",20,NA,NA,NA,1,1,1,1,3,NA,0,0,NA,NA,"01",85,NA,4.5,NA,"IFN2",30,50,26,19940530,1994,11,344.6,12,15.6636363636364
"49",49,49,49,15426,"44_317",111273,25,66970.0902777778,410.266075525775,26,25,NA,86476,66970.0902777778,NA,350.14087480217,410.266075525775,NA,11915.2232339876,6344.97706459689,15.3446090277778,760.406950327944,0,159.154943091895,381.971863420549,190.985931710274,28.2942121052258,0,0,0,0,15.6695348837209,8.34418604651163,16.0291293703711,9.34285714285715,24,44,317,NA,940717,13,22,4,0,4,"S",940729,12,493,2,"0493M15",690,4523,94,155,4,4,0,0,10,10,3,4,9,1,70,70,26,6,6,4,3,24,25,2,4,4,3,26,NA,2,NA,4,NA,26,1,2,30,25,1,2,31,NA,NA,NA,NA,26,25,78,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,5,1,2,NA,3,4,2,0,NA,NA,"01",275,97,7,6.5,"IFN2",30,155,26,19940717,1994,11,344.6,12,15.6636363636364
